bairro,percentual_verde,lat,lon,ano,mes,temp_max_media,temp_max_abs,chuva_total,umidade_min_media,estacao
Acari,17.6390751015161,-22.845,-43.394,2020,1,31.606451612903225,37.5,161.4,57.41935483870968,Verao
Acari,17.6390751015161,-22.845,-43.394,2020,2,30.27586206896552,36.2,348.9,63.51724137931034,Verao
Acari,17.6390751015161,-22.845,-43.394,2020,3,28.90322580645161,34.3,161.4,62.516129032258064,Outono
Acari,17.6390751015161,-22.845,-43.394,2020,4,27.563333333333333,33.6,50.4,60.8,Outono
Acari,17.6390751015161,-22.845,-43.394,2020,5,26.451612903225808,32.0,109.3,55.03225806451613,Outono
Acari,17.6390751015161,-22.845,-43.394,2020,6,27.616666666666667,33.1,24.0,55.333333333333336,Inverno
Acari,17.6390751015161,-22.845,-43.394,2020,7,27.248387096774195,33.0,46.0,52.64516129032258,Inverno
Acari,17.6390751015161,-22.845,-43.394,2020,8,27.16774193548387,34.2,49.7,49.58064516129032,Inverno
Acari,17.6390751015161,-22.845,-43.394,2020,9,31.363333333333333,37.6,128.0,46.73333333333333,Primavera
Acari,17.6390751015161,-22.845,-43.394,2020,10,29.74516129032258,40.5,84.9,54.45161290322581,Primavera
Acari,17.6390751015161,-22.845,-43.394,2020,11,28.313333333333333,35.6,202.2,61.73333333333333,Primavera
Acari,17.6390751015161,-22.845,-43.394,2020,12,30.60967741935484,37.1,214.7,61.774193548387096,Verao
Acari,17.6390751015161,-22.845,-43.394,2021,1,33.79032258064516,39.6,170.0,47.064516129032256,Verao
Acari,17.6390751015161,-22.845,-43.394,2021,2,31.45357142857143,39.4,136.8,55.035714285714285,Verao
Acari,17.6390751015161,-22.845,-43.394,2021,3,32.880645161290325,37.3,144.2,48.38709677419355,Outono
Acari,17.6390751015161,-22.845,-43.394,2021,4,27.8,34.2,118.3,54.96666666666667,Outono
Acari,17.6390751015161,-22.845,-43.394,2021,5,27.248387096774195,34.3,48.2,55.064516129032256,Outono
Acari,17.6390751015161,-22.845,-43.394,2021,6,25.27,31.2,59.6,59.93333333333333,Inverno
Acari,17.6390751015161,-22.845,-43.394,2021,7,24.69032258064516,32.2,19.3,49.16129032258065,Inverno
Acari,17.6390751015161,-22.845,-43.394,2021,8,27.13225806451613,34.7,77.6,51.12903225806452,Inverno
Acari,17.6390751015161,-22.845,-43.394,2021,9,29.446666666666665,39.3,19.0,52.8,Primavera
Acari,17.6390751015161,-22.845,-43.394,2021,10,27.006451612903227,34.5,205.4,65.19354838709677,Primavera
Acari,17.6390751015161,-22.845,-43.394,2021,11,28.246666666666663,35.8,157.0,58.66666666666666,Primavera
Acari,17.6390751015161,-22.845,-43.394,2021,12,29.17419354838709,35.6,255.1,61.29032258064516,Verao
Acari,17.6390751015161,-22.845,-43.394,2022,1,31.50967741935484,37.4,239.4,58.25806451612903,Verao
Acari,17.6390751015161,-22.845,-43.394,2022,2,30.37857142857143,34.7,170.1,62.42857142857143,Verao
Acari,17.6390751015161,-22.845,-43.394,2022,3,33.95161290322581,37.9,76.3,43.0,Outono
Acari,17.6390751015161,-22.845,-43.394,2022,4,28.96333333333333,35.2,111.9,59.7,Outono
Acari,17.6390751015161,-22.845,-43.394,2022,5,26.651612903225807,32.9,43.7,54.67741935483871,Outono
Acari,17.6390751015161,-22.845,-43.394,2022,6,25.44333333333333,30.3,47.9,57.03333333333333,Inverno
Acari,17.6390751015161,-22.845,-43.394,2022,7,28.26774193548387,33.8,21.5,43.903225806451616,Inverno
Acari,17.6390751015161,-22.845,-43.394,2022,8,26.461290322580645,34.9,43.4,49.67741935483871,Inverno
Acari,17.6390751015161,-22.845,-43.394,2022,9,26.196666666666665,37.7,149.5,54.2,Primavera
Acari,17.6390751015161,-22.845,-43.394,2022,10,29.5258064516129,35.0,104.6,58.87096774193548,Primavera
Acari,17.6390751015161,-22.845,-43.394,2022,11,27.476666666666667,34.4,192.3,61.53333333333333,Primavera
Acari,17.6390751015161,-22.845,-43.394,2022,12,29.458064516129035,35.2,264.0,61.03225806451613,Verao
Acari,17.6390751015161,-22.845,-43.394,2023,1,30.73225806451613,35.3,293.8,60.935483870967744,Verao
Acari,17.6390751015161,-22.845,-43.394,2023,2,32.857142857142854,37.4,227.2,56.07142857142857,Verao
