"Município";"Taxa de internação";"Taxa de internação p/infecções respiratórias agudas";"Taxa de internação p/pneumonia";"Taxa de internação p/doenças aparelho circulatório"
"Rio de Janeiro";"4,1";"157,0";"131,5";"326,0"
"Total";"4,1";"157,0";"131,5";"326,0"
